holiday,date,firstobs,firstproc
Christmas Eve,1931-12-24,1,1
Christmas in UK and Canada,1931-12-25,1,1
Christmas in the USA,1931-12-25,1,1
Boxing Day in UK and Canada,1931-12-26,1,1
New Year’s Eve,1931-12-31,-154,-154
New Year’s Day,1932-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1932-01-25,1759,1759
Australia Day,1932-01-26,1804,1804
Groundhog Day,1932-02-02,1841,1841
Mardi Gras,1932-02-09,1583,1583
Ash Wednesday,1932-02-10,1583,1583
Lincoln’s Birthday,1932-02-12,1809,1809
Valentine’s Day,1932-02-14,200,200
Alberta Family Day,1932-02-15,1900,1900
Washington’s Birthday,1932-02-15,1796,1796
St. Patrick’s day,1932-03-17,400,400
Vernal Equinox,1932-03-20,-10000,-10000
Palm Sunday,1932-03-20,1583,1583
Good Friday,1932-03-25,1583,1583
Easter Sunday,1932-03-27,30,30
Easter Monday,1932-03-28,1583,1583
April Fools’ Day,1932-04-01,1564,1564
Daylight Saving Time Start,1932-04-24,1916,1916
ANZAC Day,1932-04-25,1915,1915
Cinco de Mayo,1932-05-05,1809,1809
Mother’s Day,1932-05-08,1907,1907
Victoria Day,1932-05-24,1837,1845
Memorial Day,1932-05-30,1868,1868
Father’s Day,1932-06-19,1910,1910
Summer Solstice,1932-06-21,-10000,-10000
St. Jean-Baptiste Day,1932-06-24,1638,1638
Canada Day,1932-07-01,1867,1867
Independence Day,1932-07-04,1776,1776
Utah Pioneer Day,1932-07-24,1847,1847
Canadian Labour Day,1932-09-05,1884,1884
American Labor Day,1932-09-05,1882,1882
Autumnal Equinox,1932-09-23,-10000,-10000
Daylight Saving Time End,1932-09-25,1916,1916
Canadian Thanksgiving,1932-10-10,1700,1700
Columbus Day,1932-10-12,1905,1905
Creationism Day,1932-10-23,-4004,-4004
Halloween,1932-10-31,-2000,-2000
General Election Day,1932-11-08,1789,1789
Remembrance Day,1932-11-11,1918,1931
American Thanksgiving,1932-11-24,1621,1621
St. Andrews Day,1932-11-30,732,732
Winter Solstice,1932-12-22,-10000,-10000
Christmas Eve,1932-12-24,1,1
Christmas in UK and Canada,1932-12-25,1,1
Christmas in the USA,1932-12-25,1,1
Boxing Day in UK and Canada,1932-12-26,1,1
New Year’s Eve,1932-12-31,-154,-154
New Year’s Day,1933-01-01,-153,-153
US Congressional Start Day,1933-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1933-01-25,1759,1759
Australia Day,1933-01-26,1804,1804
Groundhog Day,1933-02-02,1841,1841
Lincoln’s Birthday,1933-02-12,1809,1809
Valentine’s Day,1933-02-14,200,200
Alberta Family Day,1933-02-20,1900,1900
Washington’s Birthday,1933-02-20,1796,1796
Mardi Gras,1933-02-28,1583,1583
Ash Wednesday,1933-03-01,1583,1583
US Presidential Inauguration Day,1933-03-04,1789,1789
St. Patrick’s day,1933-03-17,400,400
Vernal Equinox,1933-03-21,-10000,-10000
April Fools’ Day,1933-04-01,1564,1564
Palm Sunday,1933-04-09,1583,1583
Good Friday,1933-04-14,1583,1583
Easter Sunday,1933-04-16,30,30
Easter Monday,1933-04-17,1583,1583
ANZAC Day,1933-04-25,1915,1915
Daylight Saving Time Start,1933-04-30,1916,1916
Cinco de Mayo,1933-05-05,1809,1809
Mother’s Day,1933-05-14,1907,1907
Victoria Day,1933-05-24,1837,1845
Memorial Day,1933-05-29,1868,1868
Father’s Day,1933-06-18,1910,1910
Summer Solstice,1933-06-21,-10000,-10000
St. Jean-Baptiste Day,1933-06-24,1638,1638
Canada Day,1933-07-01,1867,1867
Independence Day,1933-07-04,1776,1776
Utah Pioneer Day,1933-07-24,1847,1847
Canadian Labour Day,1933-09-04,1884,1884
American Labor Day,1933-09-04,1882,1882
Autumnal Equinox,1933-09-23,-10000,-10000
Daylight Saving Time End,1933-09-24,1916,1916
Canadian Thanksgiving,1933-10-09,1700,1700
Columbus Day,1933-10-12,1905,1905
Creationism Day,1933-10-23,-4004,-4004
Halloween,1933-10-31,-2000,-2000
Remembrance Day,1933-11-11,1918,1931
American Thanksgiving,1933-11-30,1621,1621
St. Andrews Day,1933-11-30,732,732
Winter Solstice,1933-12-22,-10000,-10000
Christmas Eve,1933-12-24,1,1
Christmas in UK and Canada,1933-12-25,1,1
Christmas in the USA,1933-12-25,1,1
Boxing Day in UK and Canada,1933-12-26,1,1
New Year’s Eve,1933-12-31,-154,-154
New Year’s Day,1934-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1934-01-25,1759,1759
Australia Day,1934-01-26,1804,1804
Groundhog Day,1934-02-02,1841,1841
Lincoln’s Birthday,1934-02-12,1809,1809
Mardi Gras,1934-02-13,1583,1583
Ash Wednesday,1934-02-14,1583,1583
Valentine’s Day,1934-02-14,200,200
Alberta Family Day,1934-02-19,1900,1900
Washington’s Birthday,1934-02-19,1796,1796
St. Patrick’s day,1934-03-17,400,400
Vernal Equinox,1934-03-21,-10000,-10000
Palm Sunday,1934-03-25,1583,1583
Good Friday,1934-03-30,1583,1583
April Fools’ Day,1934-04-01,1564,1564
Easter Sunday,1934-04-01,30,30
Easter Monday,1934-04-02,1583,1583
ANZAC Day,1934-04-25,1915,1915
Daylight Saving Time Start,1934-04-29,1916,1916
Cinco de Mayo,1934-05-05,1809,1809
Mother’s Day,1934-05-13,1907,1907
Victoria Day,1934-05-24,1837,1845
Memorial Day,1934-05-28,1868,1868
Father’s Day,1934-06-17,1910,1910
Summer Solstice,1934-06-22,-10000,-10000
St. Jean-Baptiste Day,1934-06-24,1638,1638
Canada Day,1934-07-02,1867,1867
Independence Day,1934-07-04,1776,1776
Utah Pioneer Day,1934-07-24,1847,1847
Canadian Labour Day,1934-09-03,1884,1884
American Labor Day,1934-09-03,1882,1882
Autumnal Equinox,1934-09-23,-10000,-10000
Daylight Saving Time End,1934-09-30,1916,1916
Canadian Thanksgiving,1934-10-08,1700,1700
Columbus Day,1934-10-12,1905,1905
Creationism Day,1934-10-23,-4004,-4004
Halloween,1934-10-31,-2000,-2000
General Election Day,1934-11-06,1789,1789
Remembrance Day,1934-11-11,1918,1931
American Thanksgiving,1934-11-29,1621,1621
St. Andrews Day,1934-11-30,732,732
Winter Solstice,1934-12-22,-10000,-10000
Christmas Eve,1934-12-24,1,1
Christmas in UK and Canada,1934-12-25,1,1
Christmas in the USA,1934-12-25,1,1
Boxing Day in UK and Canada,1934-12-26,1,1
New Year’s Eve,1934-12-31,-154,-154
New Year’s Day,1935-01-01,-153,-153
US Congressional Start Day,1935-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1935-01-25,1759,1759
Australia Day,1935-01-26,1804,1804
Groundhog Day,1935-02-02,1841,1841
Lincoln’s Birthday,1935-02-12,1809,1809
Valentine’s Day,1935-02-14,200,200
Alberta Family Day,1935-02-18,1900,1900
Washington’s Birthday,1935-02-18,1796,1796
Mardi Gras,1935-03-05,1583,1583
Ash Wednesday,1935-03-06,1583,1583
St. Patrick’s day,1935-03-17,400,400
Vernal Equinox,1935-03-21,-10000,-10000
April Fools’ Day,1935-04-01,1564,1564
Palm Sunday,1935-04-14,1583,1583
Good Friday,1935-04-19,1583,1583
Easter Sunday,1935-04-21,30,30
Easter Monday,1935-04-22,1583,1583
ANZAC Day,1935-04-25,1915,1915
Daylight Saving Time Start,1935-04-28,1916,1916
Cinco de Mayo,1935-05-05,1809,1809
Mother’s Day,1935-05-12,1907,1907
Victoria Day,1935-05-24,1837,1845
Memorial Day,1935-05-27,1868,1868
Father’s Day,1935-06-16,1910,1910
Summer Solstice,1935-06-22,-10000,-10000
St. Jean-Baptiste Day,1935-06-24,1638,1638
Canada Day,1935-07-01,1867,1867
Independence Day,1935-07-04,1776,1776
Utah Pioneer Day,1935-07-24,1847,1847
Canadian Labour Day,1935-09-02,1884,1884
American Labor Day,1935-09-02,1882,1882
Autumnal Equinox,1935-09-23,-10000,-10000
Daylight Saving Time End,1935-09-29,1916,1916
Columbus Day,1935-10-12,1905,1905
Canadian Thanksgiving,1935-10-14,1700,1700
Creationism Day,1935-10-23,-4004,-4004
Halloween,1935-10-31,-2000,-2000
Remembrance Day,1935-11-11,1918,1931
American Thanksgiving,1935-11-28,1621,1621
St. Andrews Day,1935-11-30,732,732
Winter Solstice,1935-12-22,-10000,-10000
Christmas Eve,1935-12-24,1,1
Christmas in UK and Canada,1935-12-25,1,1
Christmas in the USA,1935-12-25,1,1
Boxing Day in UK and Canada,1935-12-26,1,1
New Year’s Eve,1935-12-31,-154,-154
New Year’s Day,1936-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1936-01-25,1759,1759
Australia Day,1936-01-26,1804,1804
Groundhog Day,1936-02-02,1841,1841
Lincoln’s Birthday,1936-02-12,1809,1809
Valentine’s Day,1936-02-14,200,200
Alberta Family Day,1936-02-17,1900,1900
Washington’s Birthday,1936-02-17,1796,1796
Mardi Gras,1936-02-25,1583,1583
Ash Wednesday,1936-02-26,1583,1583
St. Patrick’s day,1936-03-17,400,400
Vernal Equinox,1936-03-20,-10000,-10000
April Fools’ Day,1936-04-01,1564,1564
Palm Sunday,1936-04-05,1583,1583
Good Friday,1936-04-10,1583,1583
Easter Sunday,1936-04-12,30,30
Easter Monday,1936-04-13,1583,1583
ANZAC Day,1936-04-25,1915,1915
Daylight Saving Time Start,1936-04-26,1916,1916
Cinco de Mayo,1936-05-05,1809,1809
Mother’s Day,1936-05-10,1907,1907
Victoria Day,1936-05-25,1837,1845
Memorial Day,1936-05-25,1868,1868
Father’s Day,1936-06-21,1910,1910
Summer Solstice,1936-06-21,-10000,-10000
St. Jean-Baptiste Day,1936-06-24,1638,1638
Canada Day,1936-07-01,1867,1867
Independence Day,1936-07-04,1776,1776
Utah Pioneer Day,1936-07-24,1847,1847
Canadian Labour Day,1936-09-07,1884,1884
American Labor Day,1936-09-07,1882,1882
Autumnal Equinox,1936-09-23,-10000,-10000
Daylight Saving Time End,1936-09-27,1916,1916
Canadian Thanksgiving,1936-10-12,1700,1700
Columbus Day,1936-10-12,1905,1905
Creationism Day,1936-10-23,-4004,-4004
Halloween,1936-10-31,-2000,-2000
General Election Day,1936-11-03,1789,1789
Remembrance Day,1936-11-11,1918,1931
American Thanksgiving,1936-11-26,1621,1621
St. Andrews Day,1936-11-30,732,732
Winter Solstice,1936-12-22,-10000,-10000
Christmas Eve,1936-12-24,1,1
Christmas in UK and Canada,1936-12-25,1,1
Christmas in the USA,1936-12-25,1,1
Boxing Day in UK and Canada,1936-12-26,1,1
New Year’s Eve,1936-12-31,-154,-154
New Year’s Day,1937-01-01,-153,-153
US Congressional Start Day,1937-01-03,1789,1789
US Presidential Inauguration Day,1937-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1937-01-25,1759,1759
Australia Day,1937-01-26,1804,1804
Groundhog Day,1937-02-02,1841,1841
Mardi Gras,1937-02-09,1583,1583
Ash Wednesday,1937-02-10,1583,1583
Lincoln’s Birthday,1937-02-12,1809,1809
Valentine’s Day,1937-02-14,200,200
Alberta Family Day,1937-02-15,1900,1900
Washington’s Birthday,1937-02-15,1796,1796
St. Patrick’s day,1937-03-17,400,400
Vernal Equinox,1937-03-21,-10000,-10000
Palm Sunday,1937-03-21,1583,1583
Good Friday,1937-03-26,1583,1583
Easter Sunday,1937-03-28,30,30
Easter Monday,1937-03-29,1583,1583
April Fools’ Day,1937-04-01,1564,1564
Daylight Saving Time Start,1937-04-25,1916,1916
ANZAC Day,1937-04-25,1915,1915
Cinco de Mayo,1937-05-05,1809,1809
Mother’s Day,1937-05-09,1907,1907
Victoria Day,1937-05-24,1837,1845
Memorial Day,1937-05-31,1868,1868
Father’s Day,1937-06-20,1910,1910
Summer Solstice,1937-06-21,-10000,-10000
St. Jean-Baptiste Day,1937-06-24,1638,1638
Canada Day,1937-07-01,1867,1867
Independence Day,1937-07-04,1776,1776
Utah Pioneer Day,1937-07-24,1847,1847
Canadian Labour Day,1937-09-06,1884,1884
American Labor Day,1937-09-06,1882,1882
Autumnal Equinox,1937-09-23,-10000,-10000
Daylight Saving Time End,1937-09-26,1916,1916
Canadian Thanksgiving,1937-10-11,1700,1700
Columbus Day,1937-10-12,1905,1905
Creationism Day,1937-10-23,-4004,-4004
Halloween,1937-10-31,-2000,-2000
Remembrance Day,1937-11-11,1918,1931
American Thanksgiving,1937-11-25,1621,1621
St. Andrews Day,1937-11-30,732,732
Winter Solstice,1937-12-22,-10000,-10000
Christmas Eve,1937-12-24,1,1
Christmas in UK and Canada,1937-12-25,1,1
Christmas in the USA,1937-12-25,1,1
Boxing Day in UK and Canada,1937-12-26,1,1
New Year’s Eve,1937-12-31,-154,-154
New Year’s Day,1938-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1938-01-25,1759,1759
Australia Day,1938-01-26,1804,1804
Groundhog Day,1938-02-02,1841,1841
Lincoln’s Birthday,1938-02-12,1809,1809
Valentine’s Day,1938-02-14,200,200
Alberta Family Day,1938-02-21,1900,1900
Washington’s Birthday,1938-02-21,1796,1796
Mardi Gras,1938-03-01,1583,1583
Ash Wednesday,1938-03-02,1583,1583
St. Patrick’s day,1938-03-17,400,400
Vernal Equinox,1938-03-21,-10000,-10000
April Fools’ Day,1938-04-01,1564,1564
Palm Sunday,1938-04-10,1583,1583
Good Friday,1938-04-15,1583,1583
Easter Sunday,1938-04-17,30,30
Easter Monday,1938-04-18,1583,1583
Daylight Saving Time Start,1938-04-24,1916,1916
ANZAC Day,1938-04-25,1915,1915
Cinco de Mayo,1938-05-05,1809,1809
Mother’s Day,1938-05-08,1907,1907
Victoria Day,1938-05-24,1837,1845
Memorial Day,1938-05-30,1868,1868
Father’s Day,1938-06-19,1910,1910
Summer Solstice,1938-06-22,-10000,-10000
St. Jean-Baptiste Day,1938-06-24,1638,1638
Canada Day,1938-07-01,1867,1867
Independence Day,1938-07-04,1776,1776
Utah Pioneer Day,1938-07-24,1847,1847
Canadian Labour Day,1938-09-05,1884,1884
American Labor Day,1938-09-05,1882,1882
Autumnal Equinox,1938-09-23,-10000,-10000
Daylight Saving Time End,1938-09-25,1916,1916
Canadian Thanksgiving,1938-10-10,1700,1700
Columbus Day,1938-10-12,1905,1905
Creationism Day,1938-10-23,-4004,-4004
Halloween,1938-10-31,-2000,-2000
General Election Day,1938-11-08,1789,1789
Remembrance Day,1938-11-11,1918,1931
Veterans Day,1938-11-11,1918,1938
American Thanksgiving,1938-11-24,1621,1621
St. Andrews Day,1938-11-30,732,732
Winter Solstice,1938-12-22,-10000,-10000
Christmas Eve,1938-12-24,1,1
Christmas in UK and Canada,1938-12-25,1,1
Christmas in the USA,1938-12-25,1,1
Boxing Day in UK and Canada,1938-12-26,1,1
New Year’s Eve,1938-12-31,-154,-154
New Year’s Day,1939-01-01,-153,-153
US Congressional Start Day,1939-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1939-01-25,1759,1759
Australia Day,1939-01-26,1804,1804
Groundhog Day,1939-02-02,1841,1841
Lincoln’s Birthday,1939-02-12,1809,1809
Valentine’s Day,1939-02-14,200,200
Alberta Family Day,1939-02-20,1900,1900
Washington’s Birthday,1939-02-20,1796,1796
Mardi Gras,1939-02-21,1583,1583
Ash Wednesday,1939-02-22,1583,1583
St. Patrick’s day,1939-03-17,400,400
Vernal Equinox,1939-03-21,-10000,-10000
April Fools’ Day,1939-04-01,1564,1564
Palm Sunday,1939-04-02,1583,1583
Good Friday,1939-04-07,1583,1583
Easter Sunday,1939-04-09,30,30
Easter Monday,1939-04-10,1583,1583
ANZAC Day,1939-04-25,1915,1915
Daylight Saving Time Start,1939-04-30,1916,1916
Cinco de Mayo,1939-05-05,1809,1809
Mother’s Day,1939-05-14,1907,1907
Victoria Day,1939-05-24,1837,1845
Memorial Day,1939-05-29,1868,1868
Father’s Day,1939-06-18,1910,1910
Summer Solstice,1939-06-22,-10000,-10000
St. Jean-Baptiste Day,1939-06-24,1638,1638
Canada Day,1939-07-01,1867,1867
Independence Day,1939-07-04,1776,1776
Utah Pioneer Day,1939-07-24,1847,1847
Canadian Labour Day,1939-09-04,1884,1884
American Labor Day,1939-09-04,1882,1882
Autumnal Equinox,1939-09-23,-10000,-10000
Daylight Saving Time End,1939-09-24,1916,1916
Canadian Thanksgiving,1939-10-09,1700,1700
Columbus Day,1939-10-12,1905,1905
Creationism Day,1939-10-23,-4004,-4004
Halloween,1939-10-31,-2000,-2000
Remembrance Day,1939-11-11,1918,1931
Veterans Day,1939-11-11,1918,1938
American Thanksgiving,1939-11-23,1621,1621
St. Andrews Day,1939-11-30,732,732
Winter Solstice,1939-12-22,-10000,-10000
Christmas Eve,1939-12-24,1,1
Christmas in UK and Canada,1939-12-25,1,1
Christmas in the USA,1939-12-25,1,1
Boxing Day in UK and Canada,1939-12-26,1,1
New Year’s Eve,1939-12-31,-154,-154
New Year’s Day,1940-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1940-01-25,1759,1759
Australia Day,1940-01-26,1804,1804
Groundhog Day,1940-02-02,1841,1841
Mardi Gras,1940-02-06,1583,1583
Ash Wednesday,1940-02-07,1583,1583
Lincoln’s Birthday,1940-02-12,1809,1809
Valentine’s Day,1940-02-14,200,200
Alberta Family Day,1940-02-19,1900,1900
Washington’s Birthday,1940-02-19,1796,1796
St. Patrick’s day,1940-03-17,400,400
Palm Sunday,1940-03-17,1583,1583
Vernal Equinox,1940-03-20,-10000,-10000
Good Friday,1940-03-22,1583,1583
Easter Sunday,1940-03-24,30,30
Easter Monday,1940-03-25,1583,1583
April Fools’ Day,1940-04-01,1564,1564
ANZAC Day,1940-04-25,1915,1915
Daylight Saving Time Start,1940-04-28,1916,1916
Cinco de Mayo,1940-05-05,1809,1809
Mother’s Day,1940-05-12,1907,1907
Victoria Day,1940-05-24,1837,1845
Memorial Day,1940-05-27,1868,1868
Father’s Day,1940-06-16,1910,1910
Summer Solstice,1940-06-21,-10000,-10000
St. Jean-Baptiste Day,1940-06-24,1638,1638
Canada Day,1940-07-01,1867,1867
Independence Day,1940-07-04,1776,1776
Utah Pioneer Day,1940-07-24,1847,1847
Canadian Labour Day,1940-09-02,1884,1884
American Labor Day,1940-09-02,1882,1882
Autumnal Equinox,1940-09-23,-10000,-10000
Daylight Saving Time End,1940-09-29,1916,1916
Columbus Day,1940-10-12,1905,1905
Canadian Thanksgiving,1940-10-14,1700,1700
Creationism Day,1940-10-23,-4004,-4004
Halloween,1940-10-31,-2000,-2000
General Election Day,1940-11-05,1789,1789
Remembrance Day,1940-11-11,1918,1931
Veterans Day,1940-11-11,1918,1938
American Thanksgiving,1940-11-21,1621,1621
St. Andrews Day,1940-11-30,732,732
Winter Solstice,1940-12-21,-10000,-10000
Christmas Eve,1940-12-24,1,1
Christmas in UK and Canada,1940-12-25,1,1
Christmas in the USA,1940-12-25,1,1
Boxing Day in UK and Canada,1940-12-26,1,1
New Year’s Eve,1940-12-31,-154,-154
New Year’s Day,1941-01-01,-153,-153
US Congressional Start Day,1941-01-03,1789,1789
US Presidential Inauguration Day,1941-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1941-01-25,1759,1759
Australia Day,1941-01-26,1804,1804
Groundhog Day,1941-02-02,1841,1841
Lincoln’s Birthday,1941-02-12,1809,1809
Valentine’s Day,1941-02-14,200,200
Alberta Family Day,1941-02-17,1900,1900
Washington’s Birthday,1941-02-17,1796,1796
Mardi Gras,1941-02-25,1583,1583
Ash Wednesday,1941-02-26,1583,1583
St. Patrick’s day,1941-03-17,400,400
Vernal Equinox,1941-03-21,-10000,-10000
April Fools’ Day,1941-04-01,1564,1564
Palm Sunday,1941-04-06,1583,1583
Good Friday,1941-04-11,1583,1583
Easter Sunday,1941-04-13,30,30
Easter Monday,1941-04-14,1583,1583
ANZAC Day,1941-04-25,1915,1915
Daylight Saving Time Start,1941-04-27,1916,1916
Cinco de Mayo,1941-05-05,1809,1809
Mother’s Day,1941-05-11,1907,1907
Victoria Day,1941-05-24,1837,1845
Memorial Day,1941-05-26,1868,1868
Father’s Day,1941-06-15,1910,1910
Summer Solstice,1941-06-21,-10000,-10000
St. Jean-Baptiste Day,1941-06-24,1638,1638
Canada Day,1941-07-01,1867,1867
Independence Day,1941-07-04,1776,1776
Utah Pioneer Day,1941-07-24,1847,1847
Canadian Labour Day,1941-09-01,1884,1884
American Labor Day,1941-09-01,1882,1882
Autumnal Equinox,1941-09-23,-10000,-10000
Daylight Saving Time End,1941-09-28,1916,1916
Columbus Day,1941-10-12,1905,1905
Canadian Thanksgiving,1941-10-13,1700,1700
Creationism Day,1941-10-23,-4004,-4004
Halloween,1941-10-31,-2000,-2000
Remembrance Day,1941-11-11,1918,1931
Veterans Day,1941-11-11,1918,1938
American Thanksgiving,1941-11-20,1621,1621
St. Andrews Day,1941-11-30,732,732
Winter Solstice,1941-12-22,-10000,-10000
Christmas Eve,1941-12-24,1,1
Christmas in UK and Canada,1941-12-25,1,1
Christmas in the USA,1941-12-25,1,1
Boxing Day in UK and Canada,1941-12-26,1,1
New Year’s Eve,1941-12-31,-154,-154
New Year’s Day,1942-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1942-01-25,1759,1759
Australia Day,1942-01-26,1804,1804
Groundhog Day,1942-02-02,1841,1841
Daylight Saving Time Start,1942-02-09,1916,1916
Lincoln’s Birthday,1942-02-12,1809,1809
Valentine’s Day,1942-02-14,200,200
Alberta Family Day,1942-02-16,1900,1900
Washington’s Birthday,1942-02-16,1796,1796
Mardi Gras,1942-02-17,1583,1583
Ash Wednesday,1942-02-18,1583,1583
St. Patrick’s day,1942-03-17,400,400
Vernal Equinox,1942-03-21,-10000,-10000
Palm Sunday,1942-03-29,1583,1583
April Fools’ Day,1942-04-01,1564,1564
Good Friday,1942-04-03,1583,1583
Easter Sunday,1942-04-05,30,30
Easter Monday,1942-04-06,1583,1583
ANZAC Day,1942-04-25,1915,1915
Cinco de Mayo,1942-05-05,1809,1809
Mother’s Day,1942-05-10,1907,1907
Victoria Day,1942-05-25,1837,1845
Memorial Day,1942-05-25,1868,1868
Father’s Day,1942-06-21,1910,1910
Summer Solstice,1942-06-22,-10000,-10000
St. Jean-Baptiste Day,1942-06-24,1638,1638
Canada Day,1942-07-01,1867,1867
Independence Day,1942-07-04,1776,1776
Utah Pioneer Day,1942-07-24,1847,1847
Canadian Labour Day,1942-09-07,1884,1884
American Labor Day,1942-09-07,1882,1882
Autumnal Equinox,1942-09-23,-10000,-10000
Canadian Thanksgiving,1942-10-12,1700,1700
Columbus Day,1942-10-12,1905,1905
Creationism Day,1942-10-23,-4004,-4004
Halloween,1942-10-31,-2000,-2000
General Election Day,1942-11-03,1789,1789
Remembrance Day,1942-11-11,1918,1931
Veterans Day,1942-11-11,1918,1938
American Thanksgiving,1942-11-26,1621,1621
St. Andrews Day,1942-11-30,732,732
Winter Solstice,1942-12-22,-10000,-10000
Christmas Eve,1942-12-24,1,1
Christmas in UK and Canada,1942-12-25,1,1
Christmas in the USA,1942-12-25,1,1
Boxing Day in UK and Canada,1942-12-26,1,1
New Year’s Eve,1942-12-31,-154,-154
New Year’s Day,1943-01-01,-153,-153
US Congressional Start Day,1943-01-03,1789,1789
Robbie Burns Day aka Burns Nicht,1943-01-25,1759,1759
Australia Day,1943-01-26,1804,1804
Groundhog Day,1943-02-02,1841,1841
Lincoln’s Birthday,1943-02-12,1809,1809
Valentine’s Day,1943-02-14,200,200
Alberta Family Day,1943-02-15,1900,1900
Washington’s Birthday,1943-02-15,1796,1796
Mardi Gras,1943-03-09,1583,1583
Ash Wednesday,1943-03-10,1583,1583
St. Patrick’s day,1943-03-17,400,400
Vernal Equinox,1943-03-21,-10000,-10000
April Fools’ Day,1943-04-01,1564,1564
Palm Sunday,1943-04-18,1583,1583
Good Friday,1943-04-23,1583,1583
Easter Sunday,1943-04-25,30,30
ANZAC Day,1943-04-25,1915,1915
Easter Monday,1943-04-26,1583,1583
Cinco de Mayo,1943-05-05,1809,1809
Mother’s Day,1943-05-09,1907,1907
Victoria Day,1943-05-24,1837,1845
Memorial Day,1943-05-31,1868,1868
Father’s Day,1943-06-20,1910,1910
Summer Solstice,1943-06-22,-10000,-10000
St. Jean-Baptiste Day,1943-06-24,1638,1638
Canada Day,1943-07-01,1867,1867
Independence Day,1943-07-04,1776,1776
Utah Pioneer Day,1943-07-24,1847,1847
Daylight Saving Time Start,1943-08-02,1916,1916
Canadian Labour Day,1943-09-06,1884,1884
American Labor Day,1943-09-06,1882,1882
Autumnal Equinox,1943-09-23,-10000,-10000
Canadian Thanksgiving,1943-10-11,1700,1700
Columbus Day,1943-10-12,1905,1905
Creationism Day,1943-10-23,-4004,-4004
Halloween,1943-10-31,-2000,-2000
Remembrance Day,1943-11-11,1918,1931
Veterans Day,1943-11-11,1918,1938
American Thanksgiving,1943-11-25,1621,1621
St. Andrews Day,1943-11-30,732,732
Winter Solstice,1943-12-22,-10000,-10000
Christmas Eve,1943-12-24,1,1
Christmas in UK and Canada,1943-12-25,1,1
Christmas in the USA,1943-12-25,1,1
Boxing Day in UK and Canada,1943-12-26,1,1
New Year’s Eve,1943-12-31,-154,-154
New Year’s Day,1944-01-01,-153,-153
Robbie Burns Day aka Burns Nicht,1944-01-25,1759,1759
Australia Day,1944-01-26,1804,1804
Groundhog Day,1944-02-02,1841,1841
Lincoln’s Birthday,1944-02-12,1809,1809
Valentine’s Day,1944-02-14,200,200
Alberta Family Day,1944-02-21,1900,1900
Washington’s Birthday,1944-02-21,1796,1796
Mardi Gras,1944-02-22,1583,1583
Ash Wednesday,1944-02-23,1583,1583
St. Patrick’s day,1944-03-17,400,400
Vernal Equinox,1944-03-20,-10000,-10000
April Fools’ Day,1944-04-01,1564,1564
Palm Sunday,1944-04-02,1583,1583
Good Friday,1944-04-07,1583,1583
Easter Sunday,1944-04-09,30,30
Easter Monday,1944-04-10,1583,1583
ANZAC Day,1944-04-25,1915,1915
Cinco de Mayo,1944-05-05,1809,1809
Mother’s Day,1944-05-14,1907,1907
Victoria Day,1944-05-24,1837,1845
Memorial Day,1944-05-29,1868,1868
Father’s Day,1944-06-18,1910,1910
Summer Solstice,1944-06-21,-10000,-10000
St. Jean-Baptiste Day,1944-06-24,1638,1638
Canada Day,1944-07-01,1867,1867
Independence Day,1944-07-04,1776,1776
Utah Pioneer Day,1944-07-24,1847,1847
Daylight Saving Time Start,1944-08-02,1916,1916
Canadian Labour Day,1944-09-04,1884,1884
American Labor Day,1944-09-04,1882,1882
Autumnal Equinox,1944-09-23,-10000,-10000
Canadian Thanksgiving,1944-10-09,1700,1700
Columbus Day,1944-10-12,1905,1905
Creationism Day,1944-10-23,-4004,-4004
Halloween,1944-10-31,-2000,-2000
General Election Day,1944-11-07,1789,1789
Remembrance Day,1944-11-11,1918,1931
Veterans Day,1944-11-11,1918,1938
American Thanksgiving,1944-11-23,1621,1621
St. Andrews Day,1944-11-30,732,732
Winter Solstice,1944-12-21,-10000,-10000
Christmas Eve,1944-12-24,1,1
Christmas in UK and Canada,1944-12-25,1,1
Christmas in the USA,1944-12-25,1,1
Boxing Day in UK and Canada,1944-12-26,1,1
New Year’s Eve,1944-12-31,-154,-154
New Year’s Day,1945-01-01,-153,-153
US Congressional Start Day,1945-01-03,1789,1789
US Presidential Inauguration Day,1945-01-20,1789,1789
Robbie Burns Day aka Burns Nicht,1945-01-25,1759,1759
Australia Day,1945-01-26,1804,1804
Groundhog Day,1945-02-02,1841,1841
Lincoln’s Birthday,1945-02-12,1809,1809
Mardi Gras,1945-02-13,1583,1583
Ash Wednesday,1945-02-14,1583,1583
Valentine’s Day,1945-02-14,200,200
Alberta Family Day,1945-02-19,1900,1900
Washington’s Birthday,1945-02-19,1796,1796
St. Patrick’s day,1945-03-17,400,400
Vernal Equinox,1945-03-20,-10000,-10000
Palm Sunday,1945-03-25,1583,1583
